"","Gene","Correlation","P_value","SYMBOL","fdr"
"6231","105370922",-0.0246949402744567,0.777827974044338,"LOC105370922",0.866072002554631
"6232","105370923",-0.00745338765485414,0.932144954930357,"LOC105370923",0.961252740907903
"6233","105370924",-0.212127422724995,0.0142363260266094,"LOC105370924",0.0422124508798303
"6234","105370926",0.207905828689169,0.0163344637178975,"LOC105370926",0.0474118426884889
"6235","105370928",-0.348406597015515,3.96316704083332e-05,"LOC105370928",0.000254360755721776
"6236","105370932",-0.247765063608954,0.00403557001025894,"LOC105370932",0.0142277422949638
"6237","105370934",0.0241298209515616,0.782784612626924,"LOC105370934",0.869373982847779
"6238","105370935",-0.00144005116458602,0.986874813870654,"LOC105370935",0.994130805392702
"6239","105370936",0.163875086148038,0.0594537337561206,"LOC105370936",0.138284671793612
"6240","105370939",0.196654872813349,0.0232848650241921,"LOC105370939",0.06404255369076
"6241","105370941",0.0923827179465898,0.290230425447711,"LOC105370941",0.4547674851675
"6242","105370943",-0.0572854866714789,0.512499631726378,"LOC105370943",0.667417038080117
"6243","105370946",0.164859970211627,0.0579193437408084,"LOC105370946",0.135326904460631
"6244","105370947",-0.194756149352054,0.0246789219985485,"LOC105370947",0.0670865934158843
"6245","105370948",0.136322672466358,0.117671290547067,"LOC105370948",0.23617498293005
"6246","105370953",-0.10629213292455,0.223337001591207,"LOC105370953",0.376478805468405
"6247","105370956",-0.000242140443876896,0.997792942246209,NA,1
"6248","105370958",-0.0566909829301492,0.516892817514413,"LOC105370958",0.670085168028929
"6249","105370959",-0.186925032178493,0.0312086128227659,"LOC105370959",0.0816630705352085
"6250","105370960",0.02042335063204,0.81550158286809,"LOC105370960",0.89156879651521
"6251","105370964",-0.0318592554195888,0.715825832697889,"LOC105370964",0.823729020958407
"6252","105370965",0.151039595278081,0.0826696784491806,NA,0.180446416135102
"6253","105370966",-0.217310428168949,0.0119848042626222,"IDH2-DT",0.0364457644805558
"6254","105370969",-0.0158734752204418,0.856096570496516,"LOC105370969",0.915433619648472
"6255","105370970",-0.027034205218936,0.757407350360726,"LOC105370970",0.851245656369622
"6256","105370972",0.0952408513226506,0.275499945976001,"LOC105370972",0.43728642868401
"6257","105370974",-0.0482265658296672,0.581464473679013,"LOC105370974",0.72330742437538
"6258","105370975",0.0337879317597083,0.699427386543947,NA,0.813063357993956
"6259","105370982",0.0124720162446328,0.886699188574043,"LOC105370982",0.934224695581555
"6260","105370986",0.0985925071799224,0.258878989907091,"LOC105370986",0.420445348486874
"6261","105370988",-0.146466811636013,0.0925148810265173,"LOC105370988",0.196616796617942
"6262","105370990",0.0191553607551234,0.826770623977311,"LOC105370990",0.897688834672105
"6263","105370991",0.111341073581581,0.201991436764265,"LOC105370991",0.350621856308883
"6264","105370993",0.0816486245104605,0.350153977244308,"LOC105370993",0.517070846012419
"6265","105370994",0.0293782281409391,0.737111732524575,NA,0.838267076096203
"6266","105370997",0.0745117542982303,0.393999979238618,"LOC105370997",0.559271483501824
"6267","105370998",0.247177456238604,0.00412646713836856,"LOC105370998",0.0144994854217622
"6268","105371001",0.0129106476178061,0.882742481405003,"LOC105371001",0.93386330089864
"6269","105371004",-0.0566909829301492,0.516892817514413,"LOC105371004",0.670085168028929
"6270","105371008",-0.0718194472886595,0.411358365694547,"LINC02251",0.5747818270036
"6271","105371009",0.0494732781463939,0.571723882711238,"LOC105371009",0.71632976995681
"6272","105371010",-0.148530375276991,0.0879625694553588,"LOC105371010",0.189119494634112
"6273","105371011",0.0464866060027223,0.595185592656308,"LINC02351",0.732536596759697
"6274","105371013",-0.0655757872875255,0.453299299223013,NA,0.614330331699907
"6275","105371016",-0.157868499302798,0.0695483817997765,"SYNM-AS1",0.156824411517505
"6276","105371017",0.167353995229774,0.0541788418430394,"LOC105371017",0.128347647909961
"6277","105371018",0.101263591583028,0.246134680159399,"LINC02244",0.404502674367536
"6278","105371019",0.151135842331594,0.0824718543581184,"LOC105371019",0.180129188418686
"6279","105371020",0.068029179516179,0.436541286061564,"LOC105371020",0.598443846880724
"6280","105371021",0.0708771100820501,0.417538403383307,"LOC105371021",0.58079964158082
"6281","105371022",0.171436869011544,0.0484868237141441,"LOC105371022",0.11735006638485
"6282","105371024",-0.164138724548949,0.0590397694245618,"LOC105371024",0.13742787103628
"6283","105371026",0.0859448371690356,0.325297635330271,"LRRK1-AS1",0.492266928206776
"6284","105371028",0.0952408513226506,0.275499945976001,NA,0.43728642868401
"6285","105371030",0.264158075697895,0.00212323907025006,NA,0.00813756960041739
"6286","105371031",-0.148530375276991,0.0879625694553588,"LOC105371031",0.189119494634112
"6287","105371036",-0.0351535802750534,0.68789875973877,NA,0.804663154195643
"6288","105371038",-0.198991800453184,0.0216623164392212,"LOC105371038",0.060249764064685
"6289","105371042",-0.00793673761022088,0.927756119445954,"LOC105371042",0.958336404023617
"6290","105371044",0.0477235745000516,0.585415956247599,"LOC105371044",0.726641638415147
"6291","105371045",-0.0813684654631888,0.351815203938137,"PERCC1",0.518896125523704
"6292","105371046",0.0226305537746507,0.795976428698871,"LOC105371046",0.878307856427707
"6293","105371049",-0.208329194124042,0.0161125806628497,"PKD1-AS1",0.0468545005466941
"6294","105371050",-0.406780884690676,1.1813582832204e-06,"LOC105371050",1.22902777654395e-05
"6295","105371055",0.0586933497115372,0.502173255120796,"FLYWCH1-AS1",0.657741030527973
"6296","105371056",-0.154139001533611,0.0764874939622046,NA,0.169565348342528
"6297","105371058",0.024952824136479,0.775569038089236,NA,0.864447254182532
"6298","105371059",0.115338894987957,0.186163547782941,"LOC105371059",0.330306554839792
"6299","105371060",-0.0472027851511528,0.589520200985898,"LOC105371060",0.730150608288697
"6300","105371062",-0.176694917044012,0.041896424501994,"LOC105371062",0.10389509345554
"6301","105371063",-0.121765473847089,0.162650161592581,NA,0.299918177952485
"6302","105371064",0.388280375612207,3.87243434759233e-06,"LOC105371064",3.41293017620338e-05
"6303","105371067",-0.0433903016892055,0.619956816232386,"LOC105371067",0.753206180750801
"6304","105371068",-0.0785642023581755,0.368714212081788,"LOC105371068",0.535422065659532
"6305","105371070",-0.0259619340259356,0.766747925925464,NA,0.858542238762105
"6306","105371074",0.0775256351181194,0.375097404018323,"USP7-AS1",0.54105670963332
"6307","105371075",-0.0822389810396343,0.346669543196179,"LOC105371075",0.513728729150227
