"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"OBSL1",392.558738065759,-0.361497012016297,0.256255003599354,-1.41069250137057,0.158335302987566,0.228767465696948,"OBSL1"
"AP1S3",21.5442443998121,-0.361658437703345,0.855730811536909,-0.422631080741149,0.672564446350534,0.744663164639659,"AP1S3"
"NUFIP1",61.9466643814723,-0.361667381155032,0.368556035313798,-0.981309072437515,0.326440350150911,0.417873024152685,"NUFIP1"
"DNAJC7",496.115405761615,-0.361737373081013,0.191109717736531,-1.89282563631701,0.0583810611197937,0.0977024228740077,"DNAJC7"
"ZNF550",28.7797093002098,-0.362177144294074,0.427351894179189,-0.847491608735477,0.396721162282941,0.489469299177789,"ZNF550"
"PPIP5K1",242.67294717671,-0.362771855337577,0.253016454087651,-1.43378760344141,0.151632883647202,0.220842401104791,"PPIP5K1"
"ZW10",115.994989653517,-0.363503164829394,0.237167259640103,-1.53268695426596,0.125353005049379,0.18756501520537,"ZW10"
"ANAPC5",673.002849224996,-0.36353621323261,0.188325435984006,-1.93036172375294,0.0535620340691535,0.0906924851180392,"ANAPC5"
"VEPH1",124.895114984471,-0.363622830031961,0.576041150794216,-0.631244537878268,0.527880644809162,0.615901753352698,"VEPH1"
"C1QTNF1",79.5330359671,-0.363660273891055,0.254669091470291,-1.42797177227719,0.153299983485898,0.222829678736237,"C1QTNF1"
"ST3GAL1",190.098634339653,-0.363887680930094,0.182925387843374,-1.989268330767,0.0466715932752242,0.0805952551550912,"ST3GAL1"
"MRPS15",575.450896250337,-0.364178278940622,0.148746046290142,-2.44832241275348,0.0143523161914792,0.0288753285253836,"MRPS15"
"LPAR2",9.51814486362055,-0.364195099051937,0.682185907317807,-0.533864882204714,0.59343502025433,0.675144922615987,"LPAR2"
"DDA1",1283.66679742144,-0.364278021267946,0.150214648441892,-2.42504992053995,0.0153062818543276,0.0304956288799097,"DDA1"
"PPP2R3A",231.891525799613,-0.364381888766104,0.390144926170667,-0.933965468531319,0.350321705803586,0.442828144324881,"PPP2R3A"
"FBXW8",129.95258199396,-0.364570290525571,0.225071086306462,-1.61980064391374,0.105275107933686,0.162434833121395,"FBXW8"
"RPL36AL",1080.85007635656,-0.364946313697922,0.213413339426125,-1.71004452992149,0.0872576389656659,0.13821221366218,"RPL36AL"
"PTPRS",622.505794978474,-0.364968628729633,0.20762321479995,-1.7578411406513,0.0787745430540482,0.126585331187494,"PTPRS"
"TRAPPC2P1",67.3588150376494,-0.365706786989897,0.332476616978632,-1.09994738972395,0.271355045082388,0.358579378691157,"TRAPPC2P1"
"HGS",724.518635885235,-0.365832520928995,0.129655734530328,-2.8215683807138,0.0047789448019672,0.0108100525896324,"HGS"
"PECR",26.6135368518181,-0.366042675964878,0.435497271333581,-0.840516577392049,0.400618810816032,0.493645661363825,"PECR"
"SLC2A6",113.227708135532,-0.36619046515879,0.394621947349332,-0.927952607852867,0.353432153603263,0.445545186183851,"SLC2A6"
"NUTF2",748.724550939154,-0.366545287091131,0.133306560513568,-2.74964177066008,0.00596604484195155,0.0131507218403855,"NUTF2"
"CASP3",425.017301203992,-0.367074623653187,0.188250063521547,-1.94993094178251,0.0511843506058501,0.087191219335683,"CASP3"
"MCAT",41.7956816866009,-0.367564547419046,0.364495020637849,-1.00842131334421,0.313252245283113,0.403840536195058,"MCAT"
"NUDT13",8.12989782062424,-0.367623495603948,0.843295191782663,-0.435936904640497,0.66288250839467,0.736549195817902,"NUDT13"
"ARMC7",46.9045119530841,-0.367865548219619,0.391809259031216,-0.93888936961112,0.347787547666348,0.440158176290299,"ARMC7"
"KCTD7",38.1149844034057,-0.368081295302167,0.389446021474273,-0.94514072555876,0.344587036037964,0.436959303232877,"KCTD7"
"ETFB",468.582906119936,-0.368166002253843,0.183979263252523,-2.00112771268418,0.045378628547906,0.0787559425446999,"ETFB"
"VPS37C",223.586225259705,-0.368369561249471,0.178197925733502,-2.06719331739233,0.0387159416479927,0.0685981822433931,"VPS37C"
"MFSD10",310.239981160005,-0.368435619881828,0.197526278710777,-1.86524862558314,0.0621465625978857,0.103121775000044,"MFSD10"
"CEBPG",50.4151181860257,-0.368668875106111,0.375686581237563,-0.981320317301899,0.326434806624096,0.417873024152685,"CEBPG"
"ZNF524",25.7183733687493,-0.368680044342698,0.481854828791091,-0.76512680233519,0.44419604126897,0.537189261385853,"ZNF524"
"SNX12",155.243358221644,-0.369505532777336,0.207898352927427,-1.77733747080874,0.0755127320441907,0.122206642498924,"SNX12"
"EML2",424.429514573656,-0.370035785916239,0.155500470588536,-2.37964415487447,0.0173293634374078,0.0339960776538898,"EML2"
