"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","gene"
"EIF4A3",332.110889116282,0.0233068214671363,0.189509912587304,0.122984709079,0.902119206426635,0.979040142723006,0.00919950083662249,"EIF4A3"
"EIF4B",1066.25413652969,0.0472666532177168,0.269203952000676,0.175579343714828,0.86062443155756,0.974342593871277,0.0112883116358325,"EIF4B"
"EIF4E",1171.65057969624,0.462196737701178,0.194707711945487,2.3737977971339,0.0176061891486791,0.17752321923736,0.750744835131925,"EIF4E"
"EIF4E2",267.659316315553,0.137131561324493,0.173361656624328,0.791014368428972,0.428935606894939,0.818361170582017,0.0870549851145972,"EIF4E2"
"EIF4E3",27.9047934899886,0.0974107652621513,0.397264097166959,0.24520404928818,0.806298441204439,0.957853738239482,0.0187008014903285,"EIF4E3"
"EIF4EBP1",476.896832681053,-0.141758532569006,0.215068194527404,-0.65913294562457,0.509810401238483,0.859308934015572,0.065850672935215,"EIF4EBP1"
"EIF4EBP2",1345.07077543757,0.141241200547221,0.181706529562232,0.777303935568526,0.436979473664064,0.822281601172443,0.0849794271173149,"EIF4EBP2"
"EIF4EBP3",86.5317579916133,-0.357393200308185,0.231239707482628,-1.54555289919243,0.122212583925763,0.506905379290246,0.295073100010225,"EIF4EBP3"
"EIF4ENIF1",291.293607070258,0.237676565746715,0.216954058755274,1.09551564561793,0.273290794955336,0.707288932379754,0.150403137681736,"EIF4ENIF1"
"EIF4G1",7092.78308114248,0.417404448389313,0.261365233899416,1.59701595411862,0.110262150967589,0.482775817904948,0.316254491709449,"EIF4G1"
"EIF4G2",8305.27233932053,0.22747802089536,0.170736538980973,1.33233356054331,0.182750603694846,0.607757601232084,0.216269600724025,"EIF4G2"
"EIF4G3",1346.22232997944,-0.133323611454251,0.196347572208543,-0.679018385379608,0.497126212747102,0.852932338872551,0.0690854190315102,"EIF4G3"
"EIF4H",6451.97044086661,0.0570402334035692,0.21712386382964,0.262708264294357,0.792775446487097,0.953308818498993,0.0207663895565318,"EIF4H"
"EIF5",569.471196167781,-0.149361958273905,0.267079002467681,-0.559242609467133,0.575996156924387,0.890006864648271,0.0506066436164726,"EIF5"
"EIF5A",8959.54209616326,0.289319727308163,0.170152702090686,1.70035341051454,0.0890644696180942,0.438348464805221,0.358180510103801,"EIF5A"
"EIF5A2",150.935408490144,-0.153369861301369,0.277959268641187,-0.551770991667672,0.581105264186904,0.892061313178593,0.0496052946597371,"EIF5A2"
"EIF5B",1015.22245437093,0.14969741371123,0.176812104109932,0.846646865410052,0.397191983441965,0.801965600953245,0.0958442596916259,"EIF5B"
"EIF6",2594.29686009259,0.0816370552492204,0.180675578717374,0.451843330619259,0.651381851658065,0.916054328287572,0.038078768934952,"EIF6"
"ELAC1",89.1309630100898,-0.172717334518702,0.207612600836997,-0.831921250552164,0.405453396094754,0.806717191072897,0.0932786881809396,"ELAC1"
"ELAC2",768.312141590821,0.34969411213924,0.134793650632594,2.59429216805172,0.009478590083368,0.117404418738501,0.930315557282319,"ELAC2"
"ELAVL1",223.079542210901,-0.0534913970600071,0.211069173188316,-0.253430646702169,0.799935447817041,0.955323886098099,0.0198493633922009,"ELAVL1"
"ELF1",246.145668639667,-0.329365279083973,0.171062701768187,-1.92540674080026,0.0541784929522879,0.340882011931875,0.467395915535095,"ELF1"
"ELF2",23.3267962394679,-0.913755028715336,0.36848065085405,-2.47979107341856,0.013145938504381,0.147239172929388,0.831976630733736,"ELF2"
"ELF4",310.566183340811,0.182490685971273,0.165675022583267,1.10149787895489,0.270680027119198,0.705107518066794,0.151744654720892,"ELF4"
"ELFN1",54.2509450035233,-0.358955656276076,0.331856860683369,-1.08165808456364,0.279404484561522,0.716017438995215,0.145076400084378,"ELFN1"
"ELK1",220.557942383704,0.00888699804801986,0.235009757485382,0.0378154428271883,0.96983483158348,0.993907629966392,0.00265397542153653,"ELK1"
"ELK3",1305.49325428567,0.464232955967561,0.144851502452719,3.20488878683941,0.00135114675930273,0.0286415908675012,1.54300286325702,"ELK3"
"ELL",268.407447450295,-0.17983395412775,0.219441024321172,-0.819509272179417,0.412495913995285,0.8083820651579,0.0923833303489168,"ELL"
"ELL2",4075.8663422958,0.492521000979578,0.167067895959249,2.94802899235477,0.00319807070166005,0.0563771369587867,1.24889698299745,"ELL2"
"ELL3",16.7460546591375,0.474486150584365,0.522990036549573,0.90725657741931,0.364271130925062,0.782489742474646,0.106521346836923,"ELL3"
"ELMO2",309.297542279786,-0.231628882072121,0.198077616952619,-1.16938443442364,0.242248778314131,0.680883440538538,0.166927227974966,"ELMO2"
"ELMO3",10.1100365863197,-0.204832238813397,0.502540400419164,-0.407593575844944,0.683572081465262,0.92435279393166,0.0341622417503471,"ELMO3"
"ELMOD2",222.675121005154,-0.271506029333211,0.252757571146377,-1.07417565417249,0.28274396184978,0.719430361744897,0.143011237826896,"ELMOD2"
"ELMOD3",105.792231428529,-0.100783548307588,0.214505235640638,-0.469841903889147,0.638467973630432,0.911291604349061,0.0403426308256716,"ELMOD3"
"ELN",23014.0702985752,0.302778762084269,0.281825573180931,1.07434807518296,0.282666705540044,0.719430361744897,0.143011237826896,"ELN"
"ELOF1",463.440086345714,0.0693940674457475,0.216468437450174,0.320573605386329,0.748533542579131,0.940588068467296,0.0266005346604048,"ELOF1"
"ELOVL1",1576.34419348798,0.578226819069173,0.205532153757105,2.81331562239412,0.0049033496791529,0.0756397067721828,1.12125016342655,"ELOVL1"
"ELOVL2",7.46168112340052,-1.83158051692904,0.621416590165791,-2.94742777375864,0.00320429596684926,0.0563771369587867,1.24889698299745,"ELOVL2"
"ELOVL4",39.3271393948036,0.11795888130219,0.293939584991409,0.401303149780379,0.688196944860979,0.925839629913599,0.0334642334857683,"ELOVL4"
"ELOVL5",1293.78626382701,0.273358733696522,0.163103536152566,1.67598287655042,0.0937415467122084,0.447931430091543,0.348788463260997,"ELOVL5"
"ELOVL6",280.174801289474,0.306311033311165,0.242263567742806,1.26437101610076,0.206096890891761,0.638416820856234,0.194895678817721,"ELOVL6"
"ELP2",206.48264128339,-0.109690059330864,0.245327689563843,-0.447116505788143,0.654790942021371,0.916727111091931,0.0377599247276739,"ELP2"
"ELP3",292.978181882368,-0.100072225707902,0.169099625937606,-0.591794483003921,0.553988218020567,0.881314051118241,0.0548693057039664,"ELP3"
"ELP4",51.9299482158973,0.0613109157402964,0.298902719404341,0.205119966330443,0.837478397212413,0.966517006815884,0.014790499730295,"ELP4"
"ELTD1",102.844264927265,0.69706687262581,0.21374162606641,3.26125933190585,0.00110918545824695,0.0246715652807957,1.60780329594005,"ELTD1"
"EMB",32.6157150480241,0.351859813376515,0.381505349159772,0.922293263125804,0.356375627098717,0.775883107490124,0.11020370347885,"EMB"
"EMD",571.163343851878,0.128895727184049,0.184840996130139,0.69733300448835,0.485594417828479,0.847726941390771,0.0717440144227082,"EMD"
"EME1",12.7951811762025,1.3342583887182,0.469525373134552,2.84171732788517,0.00448712571356469,0.071073204915809,1.14829410040296,"EME1"
"EMG1",304.141774398994,0.34693343123653,0.162660270196542,2.13287135707651,0.0329352805900394,0.260310346852488,0.584508569149182,"EMG1"
"EMID1",4.37903290952849,1.10977154220144,0.75355737451261,1.47271008119219,0.140829227093649,0.544275452768785,0.264181252248171,"EMID1"
"EMILIN1",235.383912190097,0.128297763863567,0.195223708352705,0.657183315213821,0.511063052503211,0.859732426609708,0.0656366926265455,"EMILIN1"
